"","x"
"2411",60423054.9866872
"2412",61815169.1125656
"2413",59667330.1333792
"2414",61105073.367212
"2415",60306065.9317701
"2416",60062169.776594
"2417",59909458.8219063
"2418",59583000.4889632
"2419",60581159.939669
"2420",60416004.6500739
"2421",60539711.6295421
"2422",59823340.8151379
"2423",59899774.2574287
"2424",60306282.4829878
"2425",62897600.788222
"2426",60762329.9832277
"2427",60763051.8921792
"2428",60879570.8427731
"2429",59855415.8454529
"2430",60880193.6486319
"2431",60611559.7798679
"2432",59200333.8331266
"2433",61425654.1792472
"2434",61559456.6187845
"2435",60005688.3464168
"2436",60361336.2526634
"2437",59364956.1681812
"2438",59913773.0082987
"2439",60637387.5142504
"2440",59769423.7617127
"2441",60847974.2621818
"2442",59911655.5545023
"2443",61276581.2432557
"2444",60332698.0382188
"2445",59563494.700223
"2446",59687859.8253735
"2447",60997738.6622627
"2448",60310937.4438148
"2449",61167676.6280456
"2450",59746532.9943565
"2451",61330738.3417704
"2452",60551958.5557608
"2453",61209803.4495786
"2454",60541620.0385606
"2455",60468344.477029
"2456",61345850.8304342
"2457",59242994.9308326
"2458",60361912.869079
"2459",61725277.1459323
"2460",60495861.7969239
"2461",61049706.039762
"2462",61590152.5975041
"2463",60549391.2775164
"2464",62937614.5661456
"2465",60595899.8781002
"2466",58909038.0305235
"2467",60353442.6197822
"2468",59308247.7614471
"2469",59904258.4929846
"2470",61278240.6789349
"2471",60068629.9607437
"2472",60855622.2201489
"2473",61532143.587988
"2474",59089035.1087443
"2475",60062294.28072
"2476",60770034.9239022
"2477",60649698.6057764
"2478",60205327.1423921
"2479",60066148.5104644
"2480",61426225.391454
"2481",60254698.9982759
"2482",59795298.7714749
"2483",61603569.0254389
"2484",59600743.9378361
"2485",61674169.2500605
"2486",59993277.5587012
"2487",60946204.647681
"2488",61235814.0486663
"2489",60795318.9941246
"2490",62015758.431586
"2491",59665794.3745281
"2492",60823230.1982916
"2493",59925943.4366503
"2494",61069549.1929362
"2495",62573216.8382522
"2496",59908940.5488494
"2497",61488472.3756512
"2498",61088704.2606476
"2499",59440679.0915202
"2500",60203984.3861551
"2501",60468359.7785144
"2502",60631039.9290076
"2503",61117031.7572556
"2504",60096671.9212779
"2505",60603001.5571344
"2506",60622253.6095137
"2507",61897708.6725553
"2508",61023688.1368779
"2509",60501391.3210109
"2510",60905189.1899269
"2511",58226039.0644611
"2512",60021846.9917631
"2513",59725964.7265193
"2514",59888794.8456185
"2515",60676356.5253596
"2516",60065755.2582393
"2517",59416278.3679033
"2518",60599625.3387479
"2519",59809981.8684329
"2520",59488287.748779
"2521",61441006.9782739
"2522",61147717.1490665
"2523",58851955.0623244
"2524",60582399.4654846
"2525",59580150.8384517
"2526",60943487.5282646
"2527",59903456.970749
"2528",60620352.5066061
"2529",59495946.7841177
"2530",59124460.7662003
"2531",60446372.6403928
"2532",59464900.4593999
"2533",60852859.5563111
"2534",61418017.3453651
"2535",59796174.7286703
"2536",59052230.425162
"2537",60748416.2485928
"2538",59455148.3627668
"2539",60398410.565368
"2540",60302346.7392235
"2541",60369990.0780321
"2542",61582652.506635
"2543",60703596.1464621
"2544",60226912.0241049
"2545",60867803.9207086
"2546",59679827.0698672
"2547",59557958.7865141
"2548",60515623.9731714
"2549",59161720.477213
"2550",60937611.3953096
"2551",61149459.2862187
"2552",60292335.2947361
"2553",60657011.8011543
"2554",59980987.3062151
"2555",59445516.0201273
"2556",62214971.9438178
"2557",60998179.1881943
"2558",60338759.3848928
"2559",59978087.0543485
"2560",61002383.0143145
"2561",59970819.1870901
"2562",62001598.8960459
"2563",60147587.7642074
"2564",60741224.4464823
"2565",59907625.0603584
"2566",59165418.5435074
"2567",59072365.7738149
"2568",60287299.7298453
"2569",59450328.0111807
"2570",60727377.9100611
"2571",60922649.8930689
"2572",60235888.1444029
"2573",60633619.9595655
"2574",60677444.8750758
"2575",59889594.3345355
"2576",59741062.212891
"2577",61059960.0927614
"2578",60652932.508417
"2579",60329098.9183767
"2580",61240780.1800703
"2581",61730336.7874067
"2582",60358070.9545029
"2583",60655747.158842
"2584",59605247.1726262
"2585",60463008.6346876
"2586",60379720.6981054
"2587",59985596.3086292
"2588",61431313.3226853
"2589",59974220.4676188
"2590",62146273.7636003
"2591",58213507.0142664
"2592",60479214.4103086
"2593",60552413.4530243
"2594",59951545.7841231
"2595",59081445.0240208
"2596",60656652.6535751
"2597",59640260.3602647
"2598",61282466.8993275
