Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Date,IFNULLSign,Table Name,ValueNumberSigns,DateAdd,Raw Value,ScaledValue,Suffix,Value
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/12/2020,,owner_occupier_1,,1/01/2016,15835,15.835,k,15835
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/01/2021,,owner_occupier_1,,1/02/2016,13505,13.505,k,13505
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/02/2021,,owner_occupier_1,,1/03/2016,16280,16.28,k,16280
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/03/2021,,owner_occupier_1,,1/04/2016,19929,19.929,k,19929
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/04/2021,,owner_occupier_1,,1/05/2016,17311,17.311,k,17311
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/05/2021,,owner_occupier_1,,1/06/2016,20410,20.41,k,20410
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/06/2021,,owner_occupier_1,,1/07/2016,22828,22.828,k,22828
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2021,,owner_occupier_1,,1/08/2016,23383,23.383,k,23383
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/08/2021,,owner_occupier_1,,1/09/2016,23642,23.642,k,23642
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/09/2021,,owner_occupier_1,,1/10/2016,21671,21.671,k,21671
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/10/2021,,owner_occupier_1,,1/11/2016,20739,20.739,k,20739
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/11/2021,,owner_occupier_1,,1/12/2016,22435,22.435,k,22435
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/12/2021,,owner_occupier_1,,1/01/2017,22023,22.023,k,22023
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/01/2022,,owner_occupier_1,,1/02/2017,15294,15.294,k,15294
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/02/2022,,owner_occupier_1,,1/03/2017,17835,17.835,k,17835
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/03/2022,,owner_occupier_1,,1/04/2017,22596,22.596,k,22596
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/04/2022,,owner_occupier_1,,1/05/2017,19684,19.684,k,19684
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/05/2022,,owner_occupier_1,,1/06/2017,24697,24.697,k,24697
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/06/2022,,owner_occupier_1,,1/07/2017,26921,26.921,k,26921
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2022,,owner_occupier_1,,1/08/2017,24364,24.364,k,24364
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/08/2022,,owner_occupier_1,,1/09/2017,27667,27.667,k,27667
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/09/2022,,owner_occupier_1,,1/10/2017,24771,24.771,k,24771
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/10/2022,,owner_occupier_1,,1/11/2017,24072,24.072,k,24072
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/11/2022,,owner_occupier_1,,1/12/2017,27502,27.502,k,27502
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/12/2022,,owner_occupier_1,,1/01/2018,25026,25.026,k,25026
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/01/2023,,owner_occupier_1,,1/02/2018,20318,20.318,k,20318
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/02/2023,,owner_occupier_1,,1/03/2018,23738,23.738,k,23738
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/03/2023,,owner_occupier_1,,1/04/2018,29244,29.244,k,29244
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/04/2023,,owner_occupier_1,,1/05/2018,22323,22.323,k,22323
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/05/2023,,owner_occupier_1,,1/06/2018,30815,30.815,k,30815
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/06/2023,,owner_occupier_1,,1/07/2018,30253,30.253,k,30253
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2023,,owner_occupier_1,,1/08/2018,29334,29.334,k,29334
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/08/2023,,owner_occupier_1,,1/09/2018,29395,29.395,k,29395
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/07/2019,,owner_occupier_1,,1/08/2014,12444,12.444,k,12444
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/08/2019,,owner_occupier_1,,1/09/2014,12877,12.877,k,12877
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/09/2019,,owner_occupier_1,,1/10/2014,11723,11.723,k,11723
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/10/2019,,owner_occupier_1,,1/11/2014,12329,12.329,k,12329
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/11/2019,,owner_occupier_1,,1/12/2014,12054,12.054,k,12054
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/12/2019,,owner_occupier_1,,1/01/2015,12124,12.124,k,12124
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/01/2020,,owner_occupier_1,,1/02/2015,10136,10.136,k,10136
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/02/2020,,owner_occupier_1,,1/03/2015,10926,10.926,k,10926
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/03/2020,,owner_occupier_1,,1/04/2015,11333,11.333,k,11333
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/04/2020,,owner_occupier_1,,1/05/2015,10224,10.224,k,10224
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/05/2020,,owner_occupier_1,,1/06/2015,12408,12.408,k,12408
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/06/2020,,owner_occupier_1,,1/07/2015,12480,12.48,k,12480
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/07/2020,,owner_occupier_1,,1/08/2015,12248,12.248,k,12248
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/08/2020,,owner_occupier_1,,1/09/2015,10125,10.125,k,10125
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/09/2020,,owner_occupier_1,,1/10/2015,11452,11.452,k,11452
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/10/2020,,owner_occupier_1,,1/11/2015,11453,11.453,k,11453
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/11/2020,,owner_occupier_1,,1/12/2015,11329,11.329,k,11329
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/12/2020,,owner_occupier_1,,1/01/2016,12123,12.123,k,12123
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/01/2021,,owner_occupier_1,,1/02/2016,9883,9.883,k,9883
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/02/2021,,owner_occupier_1,,1/03/2016,12314,12.314,k,12314
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/03/2021,,owner_occupier_1,,1/04/2016,14343,14.343,k,14343
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/04/2021,,owner_occupier_1,,1/05/2016,12832,12.832,k,12832
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/05/2021,,owner_occupier_1,,1/06/2016,14615,14.615,k,14615
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/06/2021,,owner_occupier_1,,1/07/2016,15198,15.198,k,15198
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/07/2021,,owner_occupier_1,,1/08/2016,15090,15.09,k,15090
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/08/2021,,owner_occupier_1,,1/09/2016,14150,14.15,k,14150
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/09/2021,,owner_occupier_1,,1/10/2016,13575,13.575,k,13575
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/10/2021,,owner_occupier_1,,1/11/2016,13323,13.323,k,13323
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/11/2021,,owner_occupier_1,,1/12/2016,14988,14.988,k,14988
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/12/2021,,owner_occupier_1,,1/01/2017,14016,14.016,k,14016
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/01/2022,,owner_occupier_1,,1/02/2017,10044,10.044,k,10044
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/02/2022,,owner_occupier_1,,1/03/2017,13032,13.032,k,13032
Housing Finance,Owner occupier,New loan commitments,Internal refinancing,Number,1/03/2022,,owner_occupier_1,,1/04/2017,15233,15.233,k,15233
